iter	MAE	RMSE
385	0.6255837381	0.8038672671
390	0.6251311459	0.8036213188
395	0.6247951868	0.8034457953
400	0.6244327369	0.8032327244
405	0.6241368411	0.8030267241
410	0.6238082814	0.8028056235
415	0.623542106	0.8026307111
420	0.6232426127	0.8024347201
425	0.6228404674	0.8021858865
430	0.6224940837	0.8019999051
435	0.6223116323	0.8018603525
440	0.6220369537	0.801699155
445	0.621727649	0.801505461
450	0.6213262805	0.8012740939
455	0.6210417086	0.8011246938
460	0.6207192811	0.8009472706
465	0.6204230991	0.8007758066
470	0.6201809208	0.800630373
475	0.6199706295	0.8004624928
480	0.6196777998	0.8003065816
485	0.6193377526	0.8001216962
490	0.6189108336	0.7998672365
495	0.6186696364	0.7997276952
500	0.6183949168	0.799549783
505	0.6181523706	0.7993918272
510	0.6179712274	0.7992390319
515	0.6177328101	0.7990872562
520	0.6174719083	0.7989014234
525	0.6171982926	0.7987008064
530	0.6171080684	0.7986288381
535	0.6169398027	0.7985133734
540	0.6167639741	0.7983767957
545	0.6164939967	0.7982051125
550	0.6162687431	0.7981071559
555	0.6161071818	0.7979730959
560	0.6159477055	0.7978596113
565	0.6157743297	0.7977244848
570	0.6154612639	0.7974832037
575	0.6152658533	0.7973282481
580	0.6150627571	0.7972203125
585	0.6149489447	0.7971194911
590	0.614762487	0.797002115
595	0.6146518224	0.7969208366
600	0.6144401004	0.7968008915
605	0.6142781712	0.7966762845
610	0.6140740121	0.7965293838
615	0.6138725511	0.7963993958
620	0.6136396118	0.7962713888
625	0.6135138622	0.7961899845
630	0.6134204085	0.7961024353
635	0.6132982156	0.7959918684
640	0.6130983898	0.795831614
645	0.6129931215	0.7957075744
650	0.6128182331	0.7955628072
655	0.612655936	0.7954513172
660	0.6124846451	0.7952891291
665	0.6123541125	0.7952046168
670	0.6121931236	0.7950864181
675	0.61206255	0.7949851718
680	0.6119271934	0.7948747322
685	0.6118016891	0.7947765194
690	0.6116407411	0.7946868598
695	0.6114337203	0.7945540492
700	0.6113363012	0.7944653936
705	0.6111590008	0.7943504816
710	0.6110076598	0.7942502995
715	0.610907706	0.7941745048
720	0.6107963874	0.7940938894
725	0.6106459457	0.794014347
730	0.6105437435	0.7939103636
735	0.6104366765	0.7938385275
740	0.6102632598	0.7937094122
745	0.6101051734	0.7936039206
750	0.6100138864	0.7935363328
755	0.6098735015	0.7934691513
760	0.6097973404	0.7934057256
765	0.6097136572	0.7933395894
770	0.6096149708	0.7932712833
775	0.6095429795	0.7932165775
780	0.6094122834	0.7930940877
785	0.6093283549	0.7930014283
790	0.6091977814	0.7928854791
795	0.6091095604	0.7928157159
800	0.609001267	0.7927441674
805	0.6088971434	0.7926375159
810	0.6088069601	0.7925668539
815	0.6086716853	0.792483212
820	0.6085819109	0.7923608152
825	0.6085135172	0.7923024347
830	0.6084037111	0.7921896344
835	0.6083372797	0.7920967659
840	0.6082398606	0.7920419015
845	0.6081641083	0.7919677021
850	0.6080991894	0.791909525
855	0.6080195944	0.7918071754
860	0.6078987505	0.7917046319
865	0.6077920923	0.7915644779
870	0.6077072236	0.7915060645
875	0.6076269744	0.7914113337
880	0.6075896093	0.7913579974
885	0.6074958694	0.7913044767
890	0.6073661544	0.7912093084
895	0.6072715151	0.7911246962
900	0.6072192285	0.7910631496
905	0.6071258974	0.7909746712
910	0.6070264751	0.7909136298
915	0.6069157697	0.7908211543
920	0.6068526087	0.7907756362
925	0.6067753847	0.7906972852
930	0.6066654152	0.7906072922
935	0.6066131694	0.7905594348
940	0.6065533198	0.7904865961
945	0.606437586	0.7903851743
950	0.6063652677	0.7903304497
955	0.606278355	0.7902384233
960	0.6061549765	0.7901539916
965	0.6060951677	0.7900889285
970	0.606054246	0.790016124
975	0.6059850347	0.78994722
980	0.6058961596	0.7898538032
985	0.6058105959	0.7897846521
990	0.6057722497	0.789740679
995	0.6056965383	0.7896523631
1000	0.6056404088	0.7895868704
1005	0.6055838297	0.7895462259
1010	0.605551125	0.7894954045
1015	0.6054808916	0.7894160461
1020	0.6054179351	0.7893603739
1025	0.6053005661	0.7892902732
1030	0.6052437007	0.7892256051
1035	0.6051888386	0.7891488357
1040	0.6051623478	0.7891137638
1045	0.6050757212	0.7890530447
1050	0.6050195509	0.7889763103
1055	0.6049581069	0.788910321
1060	0.6048784301	0.7888244256
1065	0.6048263069	0.7887401277
1070	0.6047333029	0.78865665
1075	0.604636497	0.7885949368
1080	0.6045897702	0.7885310671
1085	0.6045092757	0.7884845354
1090	0.60447142	0.788443186
1095	0.6044184793	0.7883881711
1100	0.6043400289	0.788286998
1105	0.6042741289	0.7882151421
1110	0.6042413424	0.788186927
1115	0.6041969867	0.7881304937
1120	0.6041153475	0.7880549144
1125	0.6040510828	0.788002207
1130	0.6039618807	0.7879105312
1135	0.6039366981	0.7878678804
1140	0.6038696943	0.7877916273
1145	0.603806983	0.787707634
1150	0.6037452529	0.7876360367
1155	0.6036997116	0.7875654711
1160	0.6036274751	0.787507384
1165	0.6035734306	0.7874507203
1170	0.6035010305	0.7873726355
1175	0.6034502565	0.7872950103
1180	0.60335296	0.7872218955
1185	0.603275736	0.787133219
1190	0.6032474873	0.7871073543
1195	0.6032209556	0.7870811251
1200	0.6031738608	0.7870098344
1205	0.6031503952	0.7869782255
1210	0.6030851493	0.7869176794
1215	0.6029924315	0.7868298519
1220	0.6029220346	0.7867448206
1225	0.6028608768	0.7866555707
1230	0.6028362256	0.7866082005
1235	0.6027637029	0.7865262898
1240	0.602704303	0.7864451763
1245	0.602622296	0.7863644183
1250	0.6025598709	0.7862665983
1255	0.6025317857	0.7862361554
1260	0.6024597945	0.7861820261
1265	0.6023744761	0.7861118239
1270	0.6023098025	0.7860155848
1275	0.6022300439	0.7859264862
1280	0.6021786566	0.7858754046
1285	0.6021125931	0.7858124325
1290	0.6020383126	0.7857606672
1295	0.6019771548	0.7857060107
1300	0.6019126856	0.7856605345
1305	0.6018505876	0.7855936423
1310	0.6018242194	0.7855611698
1315	0.6017884078	0.7855280714
1320	0.6017249606	0.7854778227
1325	0.6016456926	0.7854071933
1330	0.6015603333	0.7853326013
1335	0.6015005246	0.7852565445
