GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
남,30.0,4,4,2,4,6,5,6,6,1,0.0,5,프로방스마을,4.0
여,40.0,4,3,6,3,2,2,7,2,6,0.0,28,병점역 1호선,4.0
여,30.0,4,4,4,3,4,4,5,7,1,1.0,6,더현대서울,5.0
남,30.0,7,1,1,1,7,7,2,4,1,0.0,2,강릉중앙시장,4.0
남,20.0,6,1,1,3,4,6,3,2,3,1.0,11,청계천,4.0
남,40.0,6,6,2,4,4,2,4,2,1,0.0,1,새절역 6호선,5.0
여,30.0,1,3,1,4,4,2,1,7,3,2.0,3,장안순대국,4.0
여,40.0,2,2,1,2,2,2,1,7,3,2.0,9,유일닭강정,4.0
남,20.0,7,4,3,4,3,7,6,3,2,0.0,6,숙이네닭발,5.0
남,30.0,3,3,5,5,1,5,5,2,6,0.0,21,삼송역 3호선,3.0
여,20.0,4,1,1,6,4,5,2,7,5,1.0,6,베드스테이션 선릉점,5.0
남,40.0,2,4,2,5,4,3,5,6,1,1.0,5,제부도 워터워크,2.0
여,20.0,3,2,2,4,3,3,6,4,7,0.0,1,의정부제일시장,5.0
남,30.0,5,2,2,4,7,6,6,3,1,0.0,9,넘버25 수원화성행궁점,4.0
남,20.0,5,2,2,3,4,4,3,5,3,1.0,6,대소버스공동정류장,4.0
여,20.0,5,6,3,2,2,5,6,2,7,1.0,6,청주시외버스터미널,4.0
여,30.0,4,3,3,4,2,3,5,7,1,1.0,9,더현대서울,5.0
여,40.0,2,1,1,2,3,1,3,6,8,0.0,1,경복궁,3.0
여,30.0,5,4,4,3,2,5,3,4,1,1.0,22,갤러리아백화점 타임월드점,3.0
남,30.0,4,4,2,3,4,4,2,6,1,1.0,1,집나온거북이,4.0
여,30.0,2,2,2,2,6,6,2,2,9,1.0,9,자라섬재즈페스티벌,4.0
여,30.0,4,1,4,4,3,4,1,7,10,1.0,23,더포레스트원,4.0
여,30.0,1,1,1,3,3,1,6,6,3,3.0,22,아모레퍼시픽미술관,4.0
여,40.0,6,3,4,2,2,4,6,2,2,1.0,23,세운전자상가,4.0
여,40.0,1,3,2,4,1,2,7,5,7,0.0,28,아차산 4보루,5.0
남,30.0,6,7,6,3,6,6,7,4,2,3.0,23,안다즈 서울강남,5.0
여,20.0,6,1,1,3,4,6,6,6,1,1.0,22,포토아이브 수원행궁점,4.0
여,30.0,4,1,4,3,5,6,2,2,8,0.0,3,제주은희네해장국 고양삼송점,4.0
남,30.0,2,2,1,5,4,4,6,7,1,1.0,1,가천린포크 김포점,5.0
여,20.0,1,1,1,5,5,2,1,5,2,0.0,3,호텔달,5.0
